hhid,household_serial_no,taz,mgra,hinccat1,hinc,hworkers,veh,persons,hht,bldgsz,unittype,version,poverty
479044,0,1502,5721,5,188475,2,4,2,1,2,0,0,10.93242459
479045,0,1502,5721,1,13031,0,1,2,5,9,0,0,0.755899072
479046,0,1502,5721,1,10770,0,1,1,6,4,0,0,0.844043887
479047,0,1502,5721,1,26925,0,1,1,6,9,0,0,2.110109718
479048,0,1502,5721,3,94776,0,2,1,6,3,0,0,7.427586207
479049,0,1502,5721,2,53850,0,0,1,4,7,0,0,4.220219436
479050,0,1502,5721,3,68497,0,2,2,5,5,0,0,3.973155452
479051,0,1502,5721,2,57081,0,1,2,1,5,0,0,3.310962877
479052,0,1502,5721,4,109423,0,2,2,1,2,0,0,6.347053364
479053,0,1502,5721,5,586965,2,2,2,1,2,0,0,34.04669374
505740,0,1448,24282,1,10770,0,1,1,4,2,0,0,0.844043887
505741,0,1448,24282,1,21249,0,2,1,6,5,0,0,1.665298589
505742,0,1448,24282,4,107700,2,2,2,1,2,0,0,6.247099768
505743,0,1470,24283,1,5385,0,1,1,4,2,0,0,0.422021944
505744,0,1470,24283,1,24340,1,1,2,3,6,0,0,1.411844548
505745,0,1470,24283,1,10770,0,2,2,5,2,0,0,0.624709977
505746,0,1470,24283,1,25632,0,2,1,4,7,0,0,2.008824451
784481,0,1797,2,5,296175,2,2,2,1,9,0,0,17.17952436
784482,0,1797,2,5,296175,2,2,2,1,9,0,0,17.17952436
784483,0,1797,2,5,296175,2,2,2,1,9,0,0,17.17952436
784484,0,1797,2,4,144156,0,1,1,4,6,0,0,11.29752743
784485,0,1797,2,3,64835,0,1,1,6,9,0,0,5.081144201
784486,0,1797,2,3,91545,0,1,1,4,9,0,0,7.174373041
784487,0,1797,2,5,617121,0,2,2,5,9,0,0,35.79588167
784488,0,1797,2,4,124932,2,1,3,1,9,0,0,5.751933702
784489,0,1797,2,4,124932,2,1,3,1,9,0,0,5.751933702
784490,0,1797,2,4,107700,0,1,1,6,4,0,0,8.440438871
784491,0,1797,2,1,15767,0,0,1,4,9,0,0,1.235680251
784492,0,1797,2,1,4631,0,0,1,6,9,0,0,0.362938871
784493,0,1797,2,3,97683,0,1,1,6,9,0,0,7.655478056
784494,0,1797,2,2,38987,0,0,1,4,9,0,0,3.055438871
784495,0,1797,2,1,0,0,1,1,4,2,0,0,0
784496,0,1797,2,5,306945,0,1,1,4,3,0,0,24.05525078
784497,0,1797,2,2,34356,0,1,1,6,7,0,0,2.6925
784498,0,1797,2,5,285405,2,2,2,1,2,0,0,16.55481439
784499,0,1797,2,1,17232,0,1,1,6,2,0,0,1.350470219
784500,0,1797,2,1,24232,0,1,1,6,4,0,0,1.899098746
784501,0,1797,2,5,165858,0,1,1,4,2,0,0,12.99827586
784502,0,1797,2,1,0,0,0,1,6,9,0,0,0
784503,0,1797,2,1,12062,0,0,1,6,9,0,0,0.945329154
784504,0,1797,2,1,20463,0,1,1,6,9,0,0,1.603683386
784505,0,1797,2,1,20463,0,1,1,6,9,0,0,1.603683386
784506,0,1797,2,4,107700,0,1,1,6,8,0,0,8.440438871
784507,0,1797,2,2,38772,0,1,1,6,9,0,0,3.038557994
784508,0,1797,2,4,107700,0,1,1,4,4,0,0,8.440438871
784509,0,1797,2,4,107700,0,1,1,4,4,0,0,8.440438871
784510,0,1797,2,3,86160,0,1,1,4,7,0,0,6.752351097
784511,0,1797,2,3,94237,2,2,2,1,2,0,0,5.466212297
784512,0,1797,2,5,202476,2,2,2,1,9,0,0,11.74454756
784513,0,1797,2,1,26063,0,0,1,6,9,0,0,2.042586207
784514,0,1797,2,3,66698,0,1,1,6,3,0,0,5.227163793
784515,0,1797,2,2,33171,0,1,1,6,7,0,0,2.599655172
784516,0,1797,2,5,250294,0,1,1,4,9,0,0,19.61557994
784517,0,1797,2,3,63866,0,0,1,4,9,0,0,5.005180251
784518,0,1797,2,2,51157,0,1,1,4,9,0,0,4.009208464
784519,0,1797,2,2,33063,0,0,1,4,9,0,0,2.591214734
784520,0,1797,2,5,484650,0,1,1,4,7,0,0,37.98197492
784521,0,1797,2,1,3231,0,2,2,2,6,0,0,0.187412993
784522,0,1797,2,1,3231,0,2,2,2,6,0,0,0.187412993
784523,0,1797,2,1,3231,0,2,2,2,6,0,0,0.187412993
784524,0,1797,2,5,214323,0,1,1,4,9,0,0,16.79647335
784525,0,1797,2,2,50619,0,2,1,6,9,0,0,3.96700627
784526,0,1797,2,4,140010,0,1,1,6,5,0,0,10.97257053
784527,0,1797,2,5,241248,2,3,3,1,2,0,0,11.10718232
784528,0,1797,2,5,193860,0,1,1,4,9,0,0,15.19278997
784529,0,1629,12,3,95853,0,1,1,6,6,0,0,7.511990596
784530,0,1629,12,3,80775,1,2,2,1,2,0,0,4.685324826
784531,0,1629,12,5,254172,0,2,2,1,2,0,0,14.74315545
784532,0,1629,12,5,161550,1,1,2,1,2,0,0,9.370649652
784578,0,1601,19,2,43080,1,2,2,1,2,0,0,2.498839907
784579,0,1601,19,3,62789,0,0,1,6,9,0,0,4.920775862
784580,0,1601,19,1,17339,0,0,1,6,9,0,0,1.358910658
784581,0,1601,19,5,166935,0,1,1,6,9,0,0,13.08268025
784582,0,1601,19,3,65050,0,2,2,1,2,0,0,3.77324826
784583,0,1601,19,5,161550,1,1,2,1,9,0,0,9.370649652
784584,0,1601,19,1,0,0,1,1,4,2,0,0,0
784585,0,1601,19,3,90468,0,2,2,1,9,0,0,5.247563805
784586,0,1601,19,5,289174,0,2,2,1,2,0,0,16.77346288
784587,0,1601,19,1,22617,0,1,1,6,2,0,0,1.772492163
784588,0,1601,19,5,215400,0,1,1,6,9,0,0,16.88087774
784589,0,1601,19,5,758208,2,2,3,1,4,0,0,34.90828729
784590,0,1601,19,1,4308,0,1,1,4,2,0,0,0.337617555
784591,0,1601,19,5,231770,0,1,2,7,9,0,0,13.4437587
784592,0,1601,19,1,3231,0,2,2,2,6,0,0,0.187412993
784593,0,1601,19,5,177705,0,1,1,6,8,0,0,13.92672414
784594,0,1601,19,5,189013,0,1,1,6,9,0,0,14.81297022
784644,0,2099,28,5,269250,0,1,1,4,9,0,0,21.10109718
784645,0,2099,28,1,0,0,0,1,4,7,0,0,0
784646,0,2099,28,5,199245,0,2,2,5,5,0,0,11.55713457
784647,0,2099,28,3,64620,0,1,1,4,9,0,0,5.064263323
784648,0,2099,28,4,124932,0,2,2,5,8,0,0,7.246635731
784649,0,2099,28,1,23694,1,2,2,3,6,0,0,1.374361949
784650,0,2099,28,3,96930,0,1,1,4,7,0,0,7.596394984
784651,0,2099,28,4,129240,0,1,1,4,9,0,0,10.12852665
784652,0,2099,28,4,103392,0,1,1,4,9,0,0,8.102821317
784653,0,2099,28,3,70005,0,1,1,4,9,0,0,5.486285266
784654,0,2099,28,5,184167,0,1,1,4,9,0,0,14.43315047
784655,0,2099,28,3,88314,0,1,1,6,7,0,0,6.921159875
784656,0,2099,28,2,40279,0,1,1,4,4,0,0,3.156724138
784657,0,2099,28,4,100161,1,2,2,3,7,0,0,5.809802784
784658,0,2099,28,2,32310,0,1,1,4,7,0,0,2.532131661
784659,0,2099,28,4,142164,0,2,2,5,2,0,0,8.246171694
784660,0,2099,28,2,38233,0,1,1,4,6,0,0,2.996355799
784661,0,2099,28,2,41259,0,1,2,5,9,0,0,2.393263921
784662,0,2099,28,1,23694,1,1,3,3,6,0,0,1.090883978
784663,0,2099,28,3,74851,0,0,1,4,9,0,0,5.866105016
784664,0,2099,28,5,215400,0,1,1,4,9,0,0,16.88087774
784665,0,2099,28,5,269250,0,1,1,4,9,0,0,21.10109718
784666,0,2099,28,3,63866,0,0,1,4,9,0,0,5.005180251
784667,0,2099,28,2,37695,0,1,1,4,6,0,0,2.954153605
784668,0,1941,49,5,174904,0,1,1,4,8,0,0,13.70727273
784669,0,1941,49,5,174904,0,1,1,4,8,0,0,13.70727273
784670,0,1941,49,2,39752,0,0,1,4,9,0,0,3.115365987
784671,0,1941,49,2,39752,0,0,1,4,9,0,0,3.115365987
784672,0,1941,49,4,124932,0,1,1,6,2,0,0,9.790909091
784673,0,1941,49,2,48465,0,1,1,4,8,0,0,3.798197492
784674,0,1941,49,2,48465,0,1,1,4,8,0,0,3.798197492
784675,0,1941,49,5,310283,2,2,2,1,2,0,0,17.99789443
784676,0,1941,49,5,263865,2,1,2,1,9,0,0,15.30539443
784677,0,1941,49,2,52880,2,2,11,2,4,0,0,0.918705698
784678,0,1941,49,2,52880,2,2,11,2,4,0,0,0.918705698
784679,0,1941,49,5,552824,0,2,2,5,2,0,0,32.06636311
784680,0,1941,49,2,30048,0,1,1,6,2,0,0,2.354882445
784681,0,1941,49,2,53203,0,1,1,6,4,0,0,4.169576803
784682,0,1941,49,5,204630,0,2,2,5,3,0,0,11.86948956
784683,0,1941,49,1,15508,0,0,1,6,9,0,0,1.215423197
784684,0,1941,49,2,32310,0,1,1,4,3,0,0,2.532131661
784685,0,1941,49,1,11847,0,1,1,4,8,0,0,0.928448276
784686,0,1941,49,5,166935,2,2,2,1,2,0,0,9.68300464
784687,0,1941,49,5,226170,0,1,1,4,6,0,0,17.72492163
784688,0,1941,49,3,62789,0,0,1,6,9,0,0,4.920775862
784689,0,1941,49,5,165858,0,2,1,4,8,0,0,12.99827586
784690,0,1941,49,5,165858,0,2,1,4,8,0,0,12.99827586
784691,0,1941,49,1,11523,0,0,1,4,8,0,0,0.903126959
784692,0,1941,49,5,327838,0,1,1,4,9,0,0,25.69269592
784693,0,1941,49,3,84006,0,0,1,6,9,0,0,6.58354232
784694,0,1941,49,5,216477,2,2,2,1,2,0,0,12.55667053
784695,0,1941,49,5,184167,0,2,2,5,9,0,0,10.6825406
784696,0,1941,49,5,390412,2,2,2,1,9,0,0,22.64573666
784697,0,1941,49,3,86160,0,1,1,4,3,0,0,6.752351097
784698,0,1941,49,1,11954,0,0,1,4,9,0,0,0.936888715
784699,0,1941,49,5,619598,0,1,1,4,9,0,0,48.55784483
784700,0,1941,49,5,170166,0,1,1,4,7,0,0,13.33589342
784701,0,1941,49,2,34464,0,0,1,6,9,0,0,2.700940439
784702,0,1941,49,2,32310,0,0,1,6,9,0,0,2.532131661
784703,0,1941,49,2,32310,0,0,1,6,9,0,0,2.532131661
784704,0,1941,49,2,37695,1,1,3,3,9,0,0,1.735497238
784705,0,1941,49,2,37695,1,1,3,3,9,0,0,1.735497238
784706,0,1941,49,2,37695,1,1,3,3,9,0,0,1.735497238
784707,0,1941,49,2,37695,1,1,3,3,9,0,0,1.735497238
784708,0,1941,49,5,166935,0,1,1,6,9,0,0,13.08268025
784709,0,1941,49,5,418953,0,2,1,4,2,0,0,32.83330721
784710,0,1941,49,5,270327,0,3,3,5,2,0,0,12.44599448
784711,0,1941,49,2,40926,0,1,1,4,6,0,0,3.207366771
784712,0,1941,49,5,178782,3,2,3,1,3,0,0,8.23121547
784713,0,1941,49,5,178782,3,2,3,1,3,0,0,8.23121547
784714,0,1941,49,5,180936,0,1,1,6,9,0,0,14.1799373
784715,0,1941,49,5,180936,0,1,1,6,9,0,0,14.1799373
784716,0,1941,49,1,15767,0,0,1,4,9,0,0,1.235680251
784717,0,1941,49,2,43080,0,1,1,6,2,0,0,3.376175549
784718,0,1941,49,2,56004,0,1,1,4,6,0,0,4.389028213
784719,0,1941,49,2,30156,0,1,1,6,9,0,0,2.363322884
784720,0,1941,49,2,31017,0,2,1,4,2,0,0,2.430846395
784721,0,1941,49,2,31017,0,2,1,4,2,0,0,2.430846395
784722,0,1941,49,5,175551,0,1,1,4,6,0,0,13.75791536
784723,0,1941,49,5,172320,2,2,2,1,9,0,0,9.995359629
784724,0,1941,49,5,392028,0,3,1,4,2,0,0,30.72319749
784725,0,1941,49,5,392028,0,3,1,4,2,0,0,30.72319749
784726,0,1941,49,5,201399,2,2,2,1,8,0,0,11.68207657
784727,0,1941,49,5,514806,2,2,2,1,4,0,0,29.86113689
784728,0,1941,49,5,514806,2,2,2,1,4,0,0,29.86113689
784729,0,1941,49,5,452340,0,3,2,5,2,0,0,26.23781903
784730,0,1941,49,4,105330,0,2,1,6,2,0,0,8.254749216
784731,0,1941,49,2,38987,0,0,1,4,9,0,0,3.055438871
784732,0,1941,49,2,38987,0,0,1,4,9,0,0,3.055438871
784733,0,1941,49,5,155109,0,1,1,4,9,0,0,12.15592006
784734,0,1941,49,2,52773,0,1,1,6,7,0,0,4.135815047
784735,0,1941,49,5,269250,0,1,1,6,9,0,0,21.10109718
784736,0,1941,49,1,17555,0,0,1,4,8,0,0,1.375791536
784737,0,1941,49,5,306945,0,1,1,4,3,0,0,24.05525078
784738,0,1941,49,2,34356,0,1,1,6,7,0,0,2.6925
784739,0,1941,49,2,34356,0,1,1,6,7,0,0,2.6925
784740,0,1941,49,2,51265,0,1,1,6,7,0,0,4.017648903
784741,0,1941,49,2,37910,0,0,1,6,9,0,0,2.971034483
784742,0,1941,49,2,37910,0,0,1,6,9,0,0,2.971034483
784743,0,1941,49,2,37910,0,0,1,6,9,0,0,2.971034483
784744,0,1941,49,1,1001,0,0,1,6,9,0,0,0.078496082
784745,0,1941,49,2,39741,0,0,1,6,8,0,0,3.114521944
784746,0,1941,49,5,182013,0,0,1,6,9,0,0,14.26434169
784747,0,1941,49,5,215723,0,1,1,4,9,0,0,16.90619906
784748,0,1941,49,5,247925,0,1,1,4,9,0,0,19.42989028
784749,0,1941,49,5,158319,0,1,1,4,8,0,0,12.40744514
784750,0,1941,49,5,158319,0,1,1,4,8,0,0,12.40744514
784751,0,1941,49,5,177705,0,1,1,4,9,0,0,13.92672414
784752,0,1941,49,5,494450,0,2,1,4,2,0,0,38.75005486
784753,0,1941,49,5,255033,2,2,2,1,2,0,0,14.79313225
784754,0,1941,49,5,323100,0,1,1,4,9,0,0,25.32131661
784755,0,1941,49,2,40279,0,1,1,4,4,0,0,3.156724138
784756,0,1941,49,5,153041,0,3,3,5,2,0,0,7.046118785
784757,0,1941,49,5,247710,2,2,2,1,9,0,0,14.36832947
784758,0,1941,49,5,247710,2,2,2,1,9,0,0,14.36832947
784759,0,1941,49,5,247710,2,2,2,1,9,0,0,14.36832947
784760,0,1941,49,2,36618,0,1,1,4,8,0,0,2.869749216
784761,0,1941,49,5,214323,2,1,2,1,9,0,0,12.43172854
784762,0,1941,49,5,214323,2,1,2,1,9,0,0,12.43172854
784763,0,1941,49,5,214323,2,1,2,1,9,0,0,12.43172854
784764,0,1941,49,5,214323,2,1,2,1,9,0,0,12.43172854
784765,0,1941,49,5,214323,2,1,2,1,9,0,0,12.43172854
784766,0,1941,49,5,214323,2,1,2,1,9,0,0,12.43172854
784767,0,1941,49,5,194398,2,2,2,1,5,0,0,11.27601508
784768,0,1941,49,5,254172,0,3,3,5,9,0,0,11.70220994
784769,0,1941,49,1,13247,0,0,1,4,9,0,0,1.038173981
784770,0,1941,49,5,269250,0,1,1,4,9,0,0,21.10109718
784771,0,1941,49,5,151857,0,1,2,7,9,0,0,8.808410673
784772,0,1941,49,5,150780,0,1,2,5,8,0,0,8.745939675
784773,0,1941,49,5,269250,0,2,1,4,9,0,0,21.10109718
784774,0,1941,49,4,107700,0,1,1,6,6,0,0,8.440438871
784775,0,1941,49,5,202476,2,2,2,1,9,0,0,11.74454756
784776,0,1941,49,2,32310,0,1,1,6,7,0,0,2.532131661
784777,0,1941,49,2,32310,0,1,1,6,7,0,0,2.532131661
784778,0,1941,49,5,278404,0,2,2,7,9,0,0,16.1487529
784779,0,1941,49,5,355410,2,1,2,1,3,0,0,20.61542923
784780,0,1941,49,5,161550,0,2,1,4,9,0,0,12.66065831
784781,0,1941,49,5,161550,0,2,1,4,9,0,0,12.66065831
784782,0,1941,49,5,161550,0,2,1,4,9,0,0,12.66065831
784783,0,1941,49,1,14431,0,0,1,6,9,0,0,1.131018809
784784,0,1941,49,1,14431,0,0,1,6,9,0,0,1.131018809
784785,0,1941,49,2,58158,0,1,1,6,5,0,0,4.557836991
784786,0,1941,49,5,379750,0,1,1,6,2,0,0,29.76098746
784787,0,1941,49,4,123855,0,1,1,6,3,0,0,9.706504702
784788,0,1941,49,4,119223,0,1,1,6,2,0,0,9.343565831
784789,0,1941,49,5,235863,0,2,2,7,4,0,0,13.68114849
784790,0,1941,49,5,215400,0,1,1,4,9,0,0,16.88087774
784791,0,1941,49,5,215400,0,1,1,4,9,0,0,16.88087774
784792,0,1941,49,2,33171,0,1,1,6,7,0,0,2.599655172
784793,0,1941,49,2,32633,0,1,1,6,8,0,0,2.557452978
784794,0,1941,49,2,32633,0,1,1,6,8,0,0,2.557452978
784795,0,1941,49,4,130317,0,1,1,4,8,0,0,10.21293103
784796,0,1941,49,5,398490,2,2,2,1,2,0,0,23.11426914
784797,0,1941,49,2,55465,0,1,1,4,5,0,0,4.346826019
784798,0,1941,49,5,161560,0,1,1,4,9,0,0,12.66150235
784799,0,1941,49,5,200322,0,1,1,4,2,0,0,15.6992163
784800,0,1941,49,5,161873,0,0,1,4,9,0,0,12.68597962
784801,0,1941,49,2,48249,0,1,1,6,9,0,0,3.781316614
784802,0,1941,49,2,48249,0,1,1,6,9,0,0,3.781316614
784803,0,1941,49,5,353256,0,2,2,7,2,0,0,20.49048724
784804,0,1941,49,5,224016,0,1,1,6,3,0,0,17.55611285
784805,0,1941,49,4,107700,0,2,1,4,8,0,0,8.440438871
784806,0,1941,49,3,63112,0,1,1,6,9,0,0,4.946097179
784807,0,1941,49,2,33063,0,0,1,4,9,0,0,2.591214734
784808,0,1941,49,2,33063,0,0,1,4,9,0,0,2.591214734
784809,0,1941,49,2,33063,0,0,1,4,9,0,0,2.591214734
784810,0,1941,49,1,0,0,2,1,4,2,0,0,0
784811,0,1941,49,5,150780,0,0,1,6,7,0,0,11.81661442
784812,0,1941,49,3,74313,0,0,1,4,9,0,0,5.823902821
784813,0,1941,49,5,296390,2,2,2,1,2,0,0,17.19201856
