MAZ,TAZ,Unnamed: 0,taz,luz_id,pop,hhp,hs,hs_sf,hs_mf,hs_mh,hh,hh_sf,hh_mf,hh_mh,hhs,gq_civ,gq_mil,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,emp_gov,emp_mil,emp_ag_min,emp_bus_svcs,emp_fin_res_mgm,emp_educ,emp_hlth,emp_ret,emp_trn_wrh,emp_con,emp_utl,emp_mnf,emp_whl,emp_ent,emp_accm,emp_food,emp_oth,emp_non_ws_wfh,emp_non_ws_oth,emp_total,pseudomsa,zip09,enrollgradekto8,enrollgrade9to12,collegeenroll,othercollegeenroll,hotelroomtotal,parkactive,openspaceparkpreserve,beachactive,district27,milestocoast,acres,land_acres,effective_acres,truckregiontype,ech_dist,hch_dist,adultschenrl,hstallsoth,hstallssam,numfreehrs,dstallsoth,dstallssam,mstallsoth,mstallssam,budgetroom,economyroom,luxuryroom,midpriceroom,upscaleroom,MicroAccessTime,remoteAVParking,refueling_stations,totint,duden,empden,popden,retempden,totintbin,empdenbin,dudenbin,PopEmpDenPerMi,microtransit,nev,mgra,exp_hourly,exp_daily,exp_monthly,parking_type,parking_spaces,poe_id,external_work,external_nonwork,external_TAZ,external_MAZ,walk_dist_local_bus,walk_dist_premium_transit,micro_dist_local_bus,micro_dist_premium_transit,ML_DIST,AVGTTS,PCTDETOUR,terminal_time
2,1797,1,1797,28,130,68,56,0,56,0,48,0,48,0,1.416666667,62,0,6,6,3,4,0,8,4,4,2,11,0,0,0,48,1,87,1,0,0,0,0,0,0,0,5,21,0,11,26,200,1,92101,0,0,282,0,0,0.0,0.0,0.0,15,0.64,2.872330281,2.872330281,2.872330281,1,432801,432801,0,13,65,0,0,53,0,53,0,0,0,0,0,5,0,0,173,21.4588,91.8537,43.9122,12.8218,3,3,3,86890.2213,0,0,2,4.287953259199504,19.407078183541604,137.4829599183592,1,124.0,0.0,0.0,0.0,0.0,0.0,0.052,0.052,0.052,0.052,9.6308,0.00375,0.0,0.0
12,1629,11,1629,1,7,7,4,0,4,0,4,0,4,0,1.75,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,49,8,0,0,7,0,0,0,0,0,0,0,104,4,1,28,201,2,92103,0,0,0,0,0,0.0,0.0,0.0,27,1.61,2.562017099,2.562017099,2.562017099,1,432801,432801,0,51,101,0,47,93,47,93,0,0,0,0,0,5,0,0,172,8.147,8.9831,17.3933,3.6588,3,1,2,16880.8847,0,0,12,1.4259954686502745,9.200285715998078,80.47069616008827,1,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8659,0.00384,0.0,0.0
19,1601,18,1601,1,30,30,17,17,0,0,17,17,0,0,1.764705882,0,0,2,2,0,1,2,2,0,1,3,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,10,15,2,92103,0,0,0,0,0,0.0,0.0,0.0,27,1.66,2.06073535,2.06073535,2.06073535,1,432801,432801,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,154,6.1552,5.1056,13.4185,1.9645,3,1,2,11855.4762,0,0,19,1.36282178717112,8.349174620150764,72.02504074925898,2,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.262,0.077,0.262,7.9175,0.00378,0.0,0.0
25,1733,24,1733,28,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,37,0,0,0,0,0,0,12,0,0,0,5,0,17,73,1,92101,248,0,0,0,0,1.525474,0.0,0.0,15,0.44,10.99493237,10.99493237,10.99493237,1,432801,432801,0,19,136,0,19,136,19,136,0,0,0,0,0,5,0,0,170,15.6544,67.4028,32.4694,7.6566,3,3,3,63918.23,0,0,25,3.8543405093969008,18.430042834942856,132.35335046674325,1,44.0,0.0,0.0,0.0,0.0,0.0,0.142,0.367,0.142,0.367,9.5203,0.00371,0.0,0.0
28,2099,27,2099,28,34,34,25,0,25,0,24,0,24,0,1.416666667,0,0,1,2,2,3,4,2,3,2,2,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,18,1,92101,0,0,0,0,0,0.0,0.0,0.0,15,1.1,2.287802183,2.287802183,2.287802183,1,432801,432801,0,286,286,0,203,203,203,203,0,0,0,0,0,5,0,0,139,20.856,27.7192,46.1735,5.9187,3,2,3,47291.2843,0,0,28,2.5932977245203594,13.58182778418098,110.2708353149894,1,170.0,0.0,0.0,0.0,0.0,0.0,0.177,0.373,0.177,0.373,9.781,0.00369,0.0,3.0
36,1901,35,1901,28,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,771,62,5,18,1,4,0,0,11,15,0,0,0,27,0,116,1136,1,92101,0,0,0,0,0,0.0,0.0,0.0,15,0.84,2.508281053,2.508281053,2.508281053,1,432801,432801,0,335,335,0,324,324,324,324,0,0,0,0,0,5,0,0,192,21.2671,90.777,42.8816,19.3957,3,3,3,85541.5179,0,0,36,3.696540472684352,17.81005920652736,136.37248961550495,1,257.0,0.0,0.0,0.0,0.0,0.0,0.051,0.051,0.051,0.051,9.7787,0.0038,0.0,0.0
49,1941,48,1941,28,225,225,244,0,244,0,168,0,168,0,1.339285714,0,0,8,3,39,6,3,4,6,4,39,56,0,0,0,1,23,0,0,2,0,3,0,0,0,0,0,18,74,12,61,194,1,92101,0,0,0,0,0,0.0,0.0,0.0,15,0.52,2.45830513,2.45830513,2.45830513,1,432801,432801,0,24,24,0,10,10,10,10,0,0,0,0,0,5,0,0,181,29.4576,56.4788,63.6572,20.2461,3,3,3,76887.056,0,0,49,4.0055146273589,18.12638446679508,136.44268051307958,1,419.0,0.0,0.0,0.0,0.0,0.0,0.087,0.229,0.087,0.229,10.2379,0.00373,0.0,0.0
55,1870,54,1870,28,0,0,1,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,22,0,76,0,0,0,0,0,17,0,313,0,0,44,530,1,92101,0,0,0,0,0,0.0,0.0,0.0,15,0.47,2.357232212,2.357232212,2.357232212,1,432801,432801,0,31,59,0,0,27,0,27,0,0,0,0,0,5,0,0,192,27.052,78.9425,56.9349,20.0746,3,3,3,86961.5657,0,0,55,4.07638650923501,18.65690900739586,135.5369132253445,1,45.0,0.0,0.0,0.0,0.0,0.0,0.052,0.247,0.052,0.247,10.2046,0.00373,0.0,0.0
56,2024,55,2024,28,131,0,0,0,0,0,0,0,0,0,0.0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,92101,0,0,0,0,0,0.0,0.0,0.0,15,0.93,3.068938564,3.068938564,3.068938564,1,432801,432801,0,62,99,0,55,92,55,92,0,0,0,0,0,5,0,0,155,27.682,42.0389,61.2435,12.1205,3,3,3,66100.7052,0,0,56,3.4950276267358893,17.156343715541233,131.91795307328562,1,100.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,9.8344,0.00376,0.0,0.0
73,1505,72,1505,1,59,59,26,26,0,0,24,24,0,0,2.458333333,0,0,0,0,2,1,2,2,1,2,2,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,16,2,92103,0,0,0,0,0,0.0,0.0,0.0,27,1.32,4.005803597,4.005803597,4.005803597,1,432801,432801,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,151,4.2802,0.8161,9.8464,0.1604,3,1,1,6824.0031,0,0,73,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.902,0.163,0.902,8.1725,0.00383,0.0,0.0
